country_iso,university_name,website,country_name
AD,University of Andorra,http://www.uda.ad/,Andorra
AE,Abu Dhabi University,http://www.adu.ac.ae/,United Arab Emirates
AE,Ajman University of Science & Technology,http://www.ajman.ac.ae/,United Arab Emirates
AE,Alain University of Science and Technology,http://www.alainuniversity.ac.ae/,United Arab Emirates
AE,Al Ghurair University,http://www.agu.ae/,United Arab Emirates
AE,Alhosn University,http://www.alhosnu.ae/,United Arab Emirates
AE,Al Khawarizmi International College,http://www.khawarizmi.com/,United Arab Emirates
AE,American College Of Dubai,http://www.acd.ac.ae/,United Arab Emirates
AE,American University in Dubai,http://www.aud.edu/,United Arab Emirates
AE,American University in the Emirates,http://www.aue.ae/,United Arab Emirates
AE,American University of Sharjah,http://www.aus.edu/,United Arab Emirates
AE,British University in Dubai,http://www.buid.ac.ae/,United Arab Emirates
AE,Dubai Medical College for Girls,http://www.dmcg.edu/,United Arab Emirates
AE,Dubai Pharmacy College,http://www.dpc.edu/,United Arab Emirates
AE,Etisalat University College,http://www.ece.ac.ae/,United Arab Emirates
AE,Gulf Medical University,http://www.gmu.ac.ae/,United Arab Emirates
AE,Hamdan Bin Mohammed e-University,http://www.hbmeu.ac.ae/,United Arab Emirates
AE,Higher Colleges of Technology,http://www.hct.ac.ae/,United Arab Emirates
AE,Ittihad University,http://www.ittihad.ac.ae/,United Arab Emirates
AE,Jumeira University,http://www.ju.ac.ae/,United Arab Emirates
AE,Khalifa University,http://www.kustar.ac.ae/,United Arab Emirates
AE,"Khalifa University of Science, Technology and Research",http://www.ku.ac.ae/,United Arab Emirates
AE,Masdar University Of Science And Technology,http://www.masdar.ac.ae/,United Arab Emirates
AE,"New York University, Abu Dhabi",http://nyuad.nyu.edu/,United Arab Emirates
AE,Paris-Sorbonne University Abu Dhabi,http://www.sorbonne.ae/,United Arab Emirates
AE,Rak Medical & Health Sciences University,http://www.rakmhsu.com/,United Arab Emirates
AE,"Rochester Institute of Technology, Dubai",http://dubai.rit.edu/,United Arab Emirates
AE,"Skyline University College, Sharjah",http://www.skylineuniversity.com/,United Arab Emirates
AE,"Synergy University, Dubai Campus",http://www.synergydubai.ae/,United Arab Emirates
AE,The Emirates Academy of Hotel Managment,http://www.emiratesacademy.edu/,United Arab Emirates
AE,The Petroleum Institute,http://www.pi.ac.ae/,United Arab Emirates
AE,United Arab Emirates University,http://www.uaeu.ac.ae/,United Arab Emirates
AE,University Of Dubai,http://www.ud.ac.ae/,United Arab Emirates
AE,University of Jazeera,http://www.uojazeera.com/,United Arab Emirates
AE,University of Sharjah,http://www.sharjah.ac.ae/,United Arab Emirates
AE,University of Wollongong - Dubai Campus,http://www.uowdubai.ac.ae/,United Arab Emirates
AE,Zayed University,http://www.zu.ac.ae/,United Arab Emirates
AF,Afghan University,http://www.afghanuniversity.edu.af/,Afghanistan
AF,Al-Birony University,http://www.au.edu.af/,Afghanistan
AF,American University of Afghanistan,http://www.auaf.edu.af/,Afghanistan
AF,Aria Institute of Higher Education,http://www.aria.edu.af/,Afghanistan
AF,Badakhshan University,http://www.badakhshan.edu.af/,Afghanistan
AF,Baghlan University,http://www.baghlan.edu.af/,Afghanistan
AF,Bakhtar University,http://www.bakhtar.edu.af/,Afghanistan
AF,Balkh University,http://www.ba.edu.af/,Afghanistan
AF,Bamiyan University,http://www.bu.edu.af/,Afghanistan
AF,Bost University,http://www.bost.edu.af/,Afghanistan
AF,Dawat University,http://www.dawat.edu.af/,Afghanistan
AF,Dunya Institute of Higher Education,http://www.dunya.edu.af/,Afghanistan
AF,Faryab Higher Education Institute,http://www.faryab.edu.af/,Afghanistan
AF,Ghazni University,http://www.gu.edu.af/,Afghanistan
AF,Herat University,http://www.hu.edu.af/,Afghanistan
AF,Ibn Sina University,http://www.ibnesina.edu.af/,Afghanistan
AF,Jawzjan University,http://www.ju.edu.af/,Afghanistan
AF,Kaboora Institute of Higher Education,http://www.kaboora.edu.af/,Afghanistan
AF,Kabul Education University,http://www.keu.edu.af/,Afghanistan
AF,Kabul Health Sciences Institute,http://www.kabuli.edu.af/,Afghanistan
AF,Kabul Medical University,http://www.kmu.edu.af/,Afghanistan
AF,Kabul University,http://www.ku.edu.af/,Afghanistan
AF,Kandahar University,http://www.kan.edu.af/,Afghanistan
AF,Kardan University,http://www.kardan.edu.af/,Afghanistan
AF,Karwan Institute of Higher Education,http://www.karwan.edu.af/,Afghanistan
AF,Kateb Institute of Higher Education,http://www.kateb.edu.af/,Afghanistan
AF,Khana-e-Noor Institute of Higher Education,http://www.ken.edu.af/,Afghanistan
AF,Khurasan University,http://www.kumsa.net/,Afghanistan
AF,Maryam Institute of Higher Education,http://www.maryam.edu.af/,Afghanistan
AF,Nangarhar University,http://www.nu.edu.af/,Afghanistan
AF,National Military Academy of Afghanistan,http://www.nmaa.edu.af/,Afghanistan
AF,Paktia University,http://www.pu.edu.af/,Afghanistan
AF,Pamir University,http://www.pamir.edu.af/,Afghanistan
AF,Parwan University,http://www.parwan.edu.af/,Afghanistan
AF,Polytechnical University of Kabul,http://www.polytechnic-kabul.org/,Afghanistan
AF,Rana Institute of Higher Education,http://www.rihs.edu.af/,Afghanistan
AF,Sadat Institute of Higher Education,http://www.sadat.edu.af/,Afghanistan
AF,Salam University,http://www.salam.edu.af/,Afghanistan
AF,Shaikh Zayed University,http://www.szu.edu.af/,Afghanistan
AF,Taj Institute of Higher Education,http://www.taj.edu.af/,Afghanistan
AF,Takhar University,http://www.tu.edu.af/,Afghanistan
AG,American University of Antigua,http://www.auamed.org/,Antigua And Barbuda
AG,University of Health Sciences Antigua,http://www.uhsa.ag/,Antigua And Barbuda
AL,Academy of Arts,http://www.akademiaearteve.edu.al/,Albania
AL,Academy of Sports and Physical Training,http://www.aefs.edu.al/,Albania
AL,Agricultural University of Tirane,http://www.ubt.edu.al/,Albania
AL,American University of Tirana,http://www.uat.edu.al/,Albania
AL,Beder University,http://www.beder.edu.al/,Albania
AL,Epoka University,http://www.epoka.edu.al/,Albania
AL,Polytechnic University of Tirane,http://www.upt.al/,Albania
AL,"University of Elbasan """"Aleksander Xhuvani""""",http://www.uniel.edu.al/,Albania
AL,"University of Gjirokstra """"Eqerem Cabej""""",http://www.uogj.edu.al/,Albania
AL,"University of Korca """"Fan Noli""""",http://www.unkorce.edu.al/,Albania
AL,University of New York Tirana,http://www.unyt.edu.al/,Albania
AL,"University of Shkodra """"Luigj Gurakuqi""""",http://www.unishk.edu.al/,Albania
AL,University of Tirana,http://www.unitir.edu.al/,Albania
AL,"University of Vlora """"Ismail Qemali""""",http://www.univlora.edu.al/,Albania
AL,University “Pavaresia” Vlore,http://www.unipavaresia.edu.al/,Albania
AM,American University of Armenia,http://www.aua.am/,Armenia
AM,Armenian State Agrarian University,http://www.asau.am/,Armenia
AM,Armenian State University of Economics,http://www.asue.am/,Armenia
AM,Eurasia International University,http://www.eiu.am/,Armenia
AM,European Regional Educational Academy of Armenia,http://www.eriicta.am/,Armenia
AM,French University in Armenia (UFAR),http://www.ufar.am/,Armenia
AM,Mehrabyan Medical Institute and Medical College,http://www.armmed.am/,Armenia
AM,Russian-Armenian (Slavonic) State University,http://www.rau.am/,Armenia
AM,State Engineering University of Armenia,http://www.seua.am/,Armenia
AM,Yerevan Haibusak University,http://www.haybusak.org/,Armenia
AM,Yerevan State Medical University,http://www.ysmu.am/,Armenia
AM,Yerevan State University,http://www.ysu.am/,Armenia
AN,"American University of the Caribbean, Sint Maarten",http://www.aucmed.edu/,Netherlands Antilles
AN,International University School of Medicine (IUSOM),http://www.internationaluniversity-schoolofmedicine.org/,Netherlands Antilles
AN,"St.James's School of Medicine, Bonaire",http://www.sjsm.org/,Netherlands Antilles
AN,University of Sint Eustatius School of Medicine,http://www.eustatiusmed.edu/,Netherlands Antilles
AN,"University of the Netherlands Antilles, Curacao",http://www.una.an/,Netherlands Antilles
AO,Universidade Católica de Angola,http://www.ucan.edu/,Angola
AO,Universidade Gregorio Semedo,http://www.ugs.ed.ao/,Angola
AO,Universidade Independente de Angola,http://www.unia.ao/,Angola
AO,Universidade Lusíada de Angola,http://www.ulangola.net/,Angola
AO,Universidade Metodista de Angola,http://www.uma.co.ao/,Angola
AO,Universidade Metropolitana de Angola,http://www.unimetroangola.com/,Angola
AO,Universidade Tecnica de Angola,http://www.utanga.co.ao/,Angola
AO,Univesidade Agostinho Neto,http://www.uan.ao/,Angola
AR,Instituto de Enseñanza Superior del Ejército,http://www.iese.edu.ar/,Argentina
AR,"Instituto Nacional de Educación Física """"General Manuel Belgrano""""",http://www.unlu.edu.ar/Belgrano.htm,Argentina
AR,Instituto Tecnológico de Buenos Aires,http://www.itba.edu.ar/,Argentina
AR,Instituto Universitario Aeronáutico,http://www.iua.edu.ar/,Argentina
AR,Instituto Universitario CEMA,http://www.cema.edu.ar/,Argentina
AR,Instituto Universitario de Ciencias de la Salud Fundación H.A. Barceló,http://www.barcelo.edu.ar/,Argentina
AR,Instituto Universitario de Estudios Navales y Marítimos,http://www.inun.edu.ar/,Argentina
AR,Instituto Universitario de la Policia Federal,http://www.universidad-policial.edu.ar/,Argentina
AR,Instituto Universitario Nacional del Arte,http://www.iuna.edu.ar/,Argentina
AR,Universidad Abierta Interamericana,http://www.vaneduc.edu.ar/uai/,Argentina
AR,Universidad Adventista del Plata,http://www.uapar.edu/,Argentina
AR,Universidad Argentina de la Empresa,http://www.uade.edu.ar/,Argentina
AR,"Universidad Argentina """"John F. Kennedy""""",http://www.kennedy.edu.ar/,Argentina
AR,Universidad Atlantida Argentina,http://www.atlantida.edu.ar/,Argentina
