Country,Prop,ISO2,position,Trait,ISO3,Country_map,popup_info,quants
United States,37.5997189715027,US,All,All traits,USA,USA,<b>United States</b><br/>37.6%,8
United Kingdom,9.85750125543059,GB,All,All traits,GBR,UK,<b>United Kingdom</b><br/>9.86%,8
China,8.2555936768953,CN,All,All traits,CHN,China,<b>China</b><br/>8.26%,8
Japan,6.64821952506748,JP,All,All traits,JPN,Japan,<b>Japan</b><br/>6.65%,8
Germany,5.57002147853627,DE,All,All traits,DEU,Germany,<b>Germany</b><br/>5.57%,8
South Korea,4.01262561518398,KR,All,All traits,KOR,South Korea,<b>South Korea</b><br/>4.01%,7
Netherlands,3.12313307773155,NL,All,All traits,NLD,Netherlands,<b>Netherlands</b><br/>3.12%,7
Spain,2.44895671604649,ES,All,All traits,ESP,Spain,<b>Spain</b><br/>2.45%,7
Australia,2.4439583197992,AU,All,All traits,AUS,Australia,<b>Australia</b><br/>2.44%,7
Canada,2.41084678651592,CA,All,All traits,CAN,Canada,<b>Canada</b><br/>2.41%,7
France,2.32199250944611,FR,All,All traits,FRA,France,<b>France</b><br/>2.32%,7
Sweden,2.00580009283516,SE,All,All traits,SWE,Sweden,<b>Sweden</b><br/>2.01%,6
Iceland,1.66951533087537,IS,All,All traits,ISL,Iceland,<b>Iceland</b><br/>1.67%,6
Italy,1.62762284388334,IT,All,All traits,ITA,Italy,<b>Italy</b><br/>1.63%,6
Denmark,1.39337859945099,DK,All,All traits,DNK,Denmark,<b>Denmark</b><br/>1.39%,6
Finland,1.23617665995902,FI,All,All traits,FIN,Finland,<b>Finland</b><br/>1.24%,6
Norway,0.975178081331941,NO,All,All traits,NOR,Norway,<b>Norway</b><br/>0.98%,6
Singapore,0.573597834876646,SG,All,All traits,SGP,Singapore,<b>Singapore</b><br/>0.57%,5
Switzerland,0.463150541094006,CH,All,All traits,CHE,Switzerland,<b>Switzerland</b><br/>0.46%,5
Belgium,0.416726293902408,BE,All,All traits,BEL,Belgium,<b>Belgium</b><br/>0.42%,5
United States,40.0131257552571,US,First,All traits,USA,USA,<b>United States</b><br/>40.01%,8
United Kingdom,11.1418654544363,GB,First,All traits,GBR,UK,<b>United Kingdom</b><br/>11.14%,8
China,8.49331357048748,CN,First,All traits,CHN,China,<b>China</b><br/>8.49%,8
Japan,6.43113118765293,JP,First,All traits,JPN,Japan,<b>Japan</b><br/>6.43%,8
Germany,4.83726708074534,DE,First,All traits,DEU,Germany,<b>Germany</b><br/>4.84%,8
South Korea,3.88964803312629,KR,First,All traits,KOR,South Korea,<b>South Korea</b><br/>3.89%,7
Netherlands,3.14870600414079,NL,First,All traits,NLD,Netherlands,<b>Netherlands</b><br/>3.15%,7
Australia,2.60836483931947,AU,First,All traits,AUS,Australia,<b>Australia</b><br/>2.61%,7
France,2.58899240855763,FR,First,All traits,FRA,France,<b>France</b><br/>2.59%,7
Canada,2.55148378191856,CA,First,All traits,CAN,Canada,<b>Canada</b><br/>2.55%,7
Spain,2.39782608695652,ES,First,All traits,ESP,Spain,<b>Spain</b><br/>2.4%,7
Iceland,2.04981021394065,IS,First,All traits,ISL,Iceland,<b>Iceland</b><br/>2.05%,7
Sweden,1.58652518978606,SE,First,All traits,SWE,Sweden,<b>Sweden</b><br/>1.59%,6
Denmark,1.27789855072464,DK,First,All traits,DNK,Denmark,<b>Denmark</b><br/>1.28%,6
Italy,1.13266045548654,IT,First,All traits,ITA,Italy,<b>Italy</b><br/>1.13%,6
Finland,1.0386398415699,FI,First,All traits,FIN,Finland,<b>Finland</b><br/>1.04%,6
Norway,0.751086956521739,NO,First,All traits,NOR,Norway,<b>Norway</b><br/>0.75%,5
Singapore,0.542175638371291,SG,First,All traits,SGP,Singapore,<b>Singapore</b><br/>0.54%,5
Belgium,0.318840579710145,BE,First,All traits,BEL,Belgium,<b>Belgium</b><br/>0.32%,4
Ireland,0.293478260869565,IE,First,All traits,IRL,Ireland,<b>Ireland</b><br/>0.29%,4
United States,41.0335748792271,US,Senior,All traits,USA,USA,<b>United States</b><br/>41.03%,8
United Kingdom,11.3488267770876,GB,Senior,All traits,GBR,UK,<b>United Kingdom</b><br/>11.35%,8
China,7.75894582470669,CN,Senior,All traits,CHN,China,<b>China</b><br/>7.76%,8
Japan,6.45497757073844,JP,Senior,All traits,JPN,Japan,<b>Japan</b><br/>6.45%,8
Germany,4.79672187715666,DE,Senior,All traits,DEU,Germany,<b>Germany</b><br/>4.8%,8
South Korea,3.86588164251208,KR,Senior,All traits,KOR,South Korea,<b>South Korea</b><br/>3.87%,7
Netherlands,3.07333505866115,NL,Senior,All traits,NLD,Netherlands,<b>Netherlands</b><br/>3.07%,7
Australia,2.61026570048309,AU,Senior,All traits,AUS,Australia,<b>Australia</b><br/>2.61%,7
France,2.49195997239476,FR,Senior,All traits,FRA,France,<b>France</b><br/>2.49%,7
Canada,2.42111801242236,CA,Senior,All traits,CAN,Canada,<b>Canada</b><br/>2.42%,7
Spain,2.21170634920635,ES,Senior,All traits,ESP,Spain,<b>Spain</b><br/>2.21%,7
Iceland,2.13785369220152,IS,Senior,All traits,ISL,Iceland,<b>Iceland</b><br/>2.14%,7
Sweden,1.88072808833678,SE,Senior,All traits,SWE,Sweden,<b>Sweden</b><br/>1.88%,6
Denmark,1.15682367149758,DK,Senior,All traits,DNK,Denmark,<b>Denmark</b><br/>1.16%,6
Norway,0.936231884057971,NO,Senior,All traits,NOR,Norway,<b>Norway</b><br/>0.94%,6
Finland,0.908505866114562,FI,Senior,All traits,FIN,Finland,<b>Finland</b><br/>0.91%,6
Italy,0.892753623188406,IT,Senior,All traits,ITA,Italy,<b>Italy</b><br/>0.89%,6
Singapore,0.51632160110421,SG,Senior,All traits,SGP,Singapore,<b>Singapore</b><br/>0.52%,5
Israel,0.391304347826087,IL,Senior,All traits,ISR,Israel,<b>Israel</b><br/>0.39%,5
India,0.27536231884058,IN,Senior,All traits,IND,India,<b>India</b><br/>0.28%,4
United States,36.824309095264,US,All,Cancer,USA,USA,<b>United States</b><br/>36.82%,8
China,11.2033795164402,CN,All,Cancer,CHN,China,<b>China</b><br/>11.2%,8
United Kingdom,10.5738801729465,GB,All,Cancer,GBR,UK,<b>United Kingdom</b><br/>10.57%,8
Japan,6.60786193541935,JP,All,Cancer,JPN,Japan,<b>Japan</b><br/>6.61%,8
Germany,4.06696565040108,DE,All,Cancer,DEU,Germany,<b>Germany</b><br/>4.07%,7
South Korea,3.36159284834461,KR,All,Cancer,KOR,South Korea,<b>South Korea</b><br/>3.36%,7
France,3.33449083780777,FR,All,Cancer,FRA,France,<b>France</b><br/>3.33%,7
Australia,3.13209292699478,AU,All,Cancer,AUS,Australia,<b>Australia</b><br/>3.13%,7
Canada,2.74768632473839,CA,All,Cancer,CAN,Canada,<b>Canada</b><br/>2.75%,7
Iceland,2.65558623796296,IS,All,Cancer,ISL,Iceland,<b>Iceland</b><br/>2.66%,7
Spain,2.48359696524724,ES,All,Cancer,ESP,Spain,<b>Spain</b><br/>2.48%,7
Sweden,2.21280835050001,SE,All,Cancer,SWE,Sweden,<b>Sweden</b><br/>2.21%,7
Netherlands,2.03770670356794,NL,All,Cancer,NLD,Netherlands,<b>Netherlands</b><br/>2.04%,7
Italy,1.71134415606193,IT,All,Cancer,ITA,Italy,<b>Italy</b><br/>1.71%,6
Finland,1.23540725000067,FI,All,Cancer,FIN,Finland,<b>Finland</b><br/>1.24%,6
Denmark,0.839225685106532,DK,All,Cancer,DNK,Denmark,<b>Denmark</b><br/>0.84%,6
Singapore,0.601316671589497,SG,All,Cancer,SGP,Singapore,<b>Singapore</b><br/>0.6%,5
Norway,0.568268340077706,NO,All,Cancer,NOR,Norway,<b>Norway</b><br/>0.57%,5
Poland,0.403499380942506,PL,All,Cancer,POL,Poland,<b>Poland</b><br/>0.4%,5
Israel,0.350138820780603,IL,All,Cancer,ISR,Israel,<b>Israel</b><br/>0.35%,4
United States,41.3480609272392,US,First,Cancer,USA,USA,<b>United States</b><br/>41.35%,8
United Kingdom,13.2885919425608,GB,First,Cancer,GBR,UK,<b>United Kingdom</b><br/>13.29%,8
China,10.9763691965527,CN,First,Cancer,CHN,China,<b>China</b><br/>10.98%,8
Japan,6.13705865999444,JP,First,Cancer,JPN,Japan,<b>Japan</b><br/>6.14%,8
Iceland,3.94495412844037,IS,First,Cancer,ISL,Iceland,<b>Iceland</b><br/>3.94%,7
France,3.6605504587156,FR,First,Cancer,FRA,France,<b>France</b><br/>3.66%,7
Australia,3.02765589682223,AU,First,Cancer,AUS,Australia,<b>Australia</b><br/>3.03%,7
Canada,2.81345565749235,CA,First,Cancer,CAN,Canada,<b>Canada</b><br/>2.81%,7
South Korea,2.7217125382263,KR,First,Cancer,KOR,South Korea,<b>South Korea</b><br/>2.72%,7
Germany,2.34250764525994,DE,First,Cancer,DEU,Germany,<b>Germany</b><br/>2.34%,7
Netherlands,1.87155963302752,NL,First,Cancer,NLD,Netherlands,<b>Netherlands</b><br/>1.87%,6
Sweden,1.68960244648318,SE,First,Cancer,SWE,Sweden,<b>Sweden</b><br/>1.69%,6
Spain,1.43119266055046,ES,First,Cancer,ESP,Spain,<b>Spain</b><br/>1.43%,6
Italy,1.34556574923547,IT,First,Cancer,ITA,Italy,<b>Italy</b><br/>1.35%,6
Finland,0.864246775694721,FI,First,Cancer,FIN,Finland,<b>Finland</b><br/>0.86%,6
Denmark,0.458715596330275,DK,First,Cancer,DNK,Denmark,<b>Denmark</b><br/>0.46%,5
Singapore,0.392966360856269,SG,First,Cancer,SGP,Singapore,<b>Singapore</b><br/>0.39%,5
Indonesia,0.36697247706422,ID,First,Cancer,IDN,Indonesia,<b>Indonesia</b><br/>0.37%,4
Austria,0.18348623853211,AT,First,Cancer,AUT,Austria,<b>Austria</b><br/>0.18%,4
India,0.18348623853211,IN,First,Cancer,IND,India,<b>India</b><br/>0.18%,4
Ireland,0.18348623853211,IE,First,Cancer,IRL,Ireland,<b>Ireland</b><br/>0.18%,4
Qatar,0.18348623853211,QA,First,Cancer,QAT,Qatar,<b>Qatar</b><br/>0.18%,4
United States,41.3262705693898,US,Senior,Cancer,USA,USA,<b>United States</b><br/>41.33%,8
United Kingdom,13.6218144750255,GB,Senior,Cancer,GBR,UK,<b>United Kingdom</b><br/>13.62%,8
China,10.5196592398427,CN,Senior,Cancer,CHN,China,<b>China</b><br/>10.52%,8
Japan,6.10907237512742,JP,Senior,Cancer,JPN,Japan,<b>Japan</b><br/>6.11%,8
