Country,position,Trait,DATE,Prop
Australia,All,All traits,2005,0
Australia,First,All traits,2005,0
Australia,First,Neurological disorders,2005,0
Australia,Senior,All traits,2005,0
Australia,Senior,Neurological disorders,2005,0
Belgium,All,All traits,2005,0
Belgium,First,All traits,2005,0
Belgium,First,Neurological disorders,2005,0
Belgium,Senior,Neurological disorders,2005,0
Canada,All,All traits,2005,0
Canada,First,All traits,2005,0
Canada,First,Neurological disorders,2005,0
Canada,Senior,All traits,2005,0
Canada,Senior,Neurological disorders,2005,0
Chile,First,Neurological disorders,2005,0
Chile,Senior,Neurological disorders,2005,0
China,All,All traits,2005,0
China,First,All traits,2005,0
China,First,Neurological disorders,2005,0
China,Senior,All traits,2005,0
China,Senior,Neurological disorders,2005,0
Denmark,All,All traits,2005,0
Denmark,First,All traits,2005,0
Denmark,First,Neurological disorders,2005,0
Denmark,Senior,All traits,2005,0
Denmark,Senior,Neurological disorders,2005,0
Finland,All,All traits,2005,0
Finland,First,All traits,2005,0
Finland,First,Neurological disorders,2005,0
Finland,Senior,All traits,2005,0
Finland,Senior,Neurological disorders,2005,0
France,All,All traits,2005,0
France,First,All traits,2005,0
France,First,Neurological disorders,2005,0
France,Senior,All traits,2005,0
France,Senior,Neurological disorders,2005,0
Germany,All,All traits,2005,0
Germany,First,All traits,2005,0
Germany,First,Neurological disorders,2005,0
Germany,Senior,All traits,2005,0
Germany,Senior,Neurological disorders,2005,0
Iceland,All,All traits,2005,0
Iceland,First,All traits,2005,0
Iceland,First,Neurological disorders,2005,0
Iceland,Senior,All traits,2005,0
India,Senior,All traits,2005,0
Ireland,First,All traits,2005,0
Israel,First,Neurological disorders,2005,0
Israel,Senior,All traits,2005,0
Israel,Senior,Neurological disorders,2005,0
Italy,All,All traits,2005,0
Italy,First,All traits,2005,0
Italy,First,Neurological disorders,2005,0
Italy,Senior,All traits,2005,0
Italy,Senior,Neurological disorders,2005,0
Japan,All,All traits,2005,0
Japan,First,All traits,2005,0
Japan,First,Neurological disorders,2005,0
Japan,Senior,All traits,2005,0
Japan,Senior,Neurological disorders,2005,0
Netherlands,All,All traits,2005,0
Netherlands,First,All traits,2005,0
Netherlands,First,Neurological disorders,2005,0
Netherlands,Senior,All traits,2005,0
Netherlands,Senior,Neurological disorders,2005,0
Norway,All,All traits,2005,0
Norway,First,All traits,2005,0
Norway,First,Neurological disorders,2005,0
Norway,Senior,All traits,2005,0
Norway,Senior,Neurological disorders,2005,0
Poland,First,Neurological disorders,2005,0
Poland,Senior,Neurological disorders,2005,0
Portugal,First,Neurological disorders,2005,0
Portugal,Senior,Neurological disorders,2005,0
Singapore,All,All traits,2005,0
Singapore,First,All traits,2005,0
Singapore,First,Neurological disorders,2005,0
Singapore,Senior,All traits,2005,0
Singapore,Senior,Neurological disorders,2005,0
South Korea,All,All traits,2005,0
South Korea,First,All traits,2005,0
South Korea,First,Neurological disorders,2005,0
South Korea,Senior,All traits,2005,0
South Korea,Senior,Neurological disorders,2005,0
Spain,All,All traits,2005,0
Spain,First,All traits,2005,0
Spain,First,Neurological disorders,2005,0
Spain,Senior,All traits,2005,0
Spain,Senior,Neurological disorders,2005,0
Sweden,All,All traits,2005,0
Sweden,First,All traits,2005,0
Sweden,First,Neurological disorders,2005,0
Sweden,Senior,All traits,2005,0
Switzerland,All,All traits,2005,0
Switzerland,Senior,Neurological disorders,2005,0
Turkey,Senior,Neurological disorders,2005,0
United Kingdom,All,All traits,2005,0
United Kingdom,First,All traits,2005,0
United Kingdom,First,Neurological disorders,2005,0
United Kingdom,Senior,All traits,2005,0
United Kingdom,Senior,Neurological disorders,2005,0
United States,All,All traits,2005,1
United States,All,Neurological disorders,2005,1
United States,First,All traits,2005,1
United States,First,Neurological disorders,2005,1
United States,Senior,All traits,2005,1
United States,Senior,Neurological disorders,2005,1
Australia,All,All traits,2006,0.0303030303030303
