BROAD_ANCESTRAL_CATEGORY,YEAR,total_country,Prop,Trait
Aboriginal Australian,2005,0,0,All traits
Aboriginal Australian,2006,0,0,All traits
Aboriginal Australian,2007,0,0,All traits
Aboriginal Australian,2008,0,0,All traits
Aboriginal Australian,2009,0,0,All traits
Aboriginal Australian,2010,0,0,All traits
Aboriginal Australian,2011,0,0,All traits
Aboriginal Australian,2012,0,0,All traits
Aboriginal Australian,2013,0,0,All traits
Aboriginal Australian,2014,0,0,All traits
Aboriginal Australian,2015,752,0.000123417016744834,All traits
Aboriginal Australian,2016,0,0,All traits
Aboriginal Australian,2017,0,0,All traits
Aboriginal Australian,2018,0,0,All traits
Aboriginal Australian,2019,0,0,All traits
Aboriginal Australian,2020,0,0,All traits
Aboriginal Australian,2021,0,0,All traits
African American or Afro-Caribbean,2005,0,0,All traits
African American or Afro-Caribbean,2006,0,0,All traits
African American or Afro-Caribbean,2007,2171,0.0046407233628678,All traits
African American or Afro-Caribbean,2008,648,0.000812453609901904,All traits
African American or Afro-Caribbean,2009,33858.8571428571,0.0250486654017555,All traits
African American or Afro-Caribbean,2010,13322.6666666667,0.00645893611134813,All traits
African American or Afro-Caribbean,2011,93253,0.0333302833679909,All traits
African American or Afro-Caribbean,2012,40851.4166666667,0.0149523925255515,All traits
African American or Afro-Caribbean,2013,66287.9166666667,0.0222303323509514,All traits
African American or Afro-Caribbean,2014,89958,0.0368200460056156,All traits
African American or Afro-Caribbean,2015,93119,0.0152825388061997,All traits
African American or Afro-Caribbean,2016,163540.666666667,0.0125511527356142,All traits
African American or Afro-Caribbean,2017,124128.527777778,0.0113537354605683,All traits
African American or Afro-Caribbean,2018,280239.75,0.00594843259186613,All traits
African American or Afro-Caribbean,2019,858993.659090909,0.0172312899725932,All traits
African American or Afro-Caribbean,2020,194112.5,0.00755776019731415,All traits
African American or Afro-Caribbean,2021,293588.633333333,0.00788850554353711,All traits
African unspecified,2005,0,0,All traits
African unspecified,2006,0,0,All traits
African unspecified,2007,0,0,All traits
African unspecified,2008,0,0,All traits
African unspecified,2009,1033,0.000764209827013375,All traits
African unspecified,2010,10271.5,0.00497970593482628,All traits
African unspecified,2011,1568,0.00056043113166343,All traits
African unspecified,2012,0,0,All traits
African unspecified,2013,17385.75,0.00583048947840749,All traits
African unspecified,2014,4143,0.00169574079683036,All traits
African unspecified,2015,18672.4333333333,0.00306448938479626,All traits
African unspecified,2016,75361.9166666667,0.0057837536425107,All traits
African unspecified,2017,82539,0.00754964219713897,All traits
African unspecified,2018,22809.0833333333,0.000484150784071819,All traits
African unspecified,2019,138363.242424242,0.00277554685826617,All traits
African unspecified,2020,70557.6666666667,0.00274715912034873,All traits
African unspecified,2021,136600.45,0.00367035124909354,All traits
Asian unspecified,2005,2,0.00129032258064516,All traits
Asian unspecified,2006,0,0,All traits
Asian unspecified,2007,0,0,All traits
Asian unspecified,2008,51.75,6.48834480129993e-05,All traits
Asian unspecified,2009,250.857142857143,0.000185583246609803,All traits
Asian unspecified,2010,51.6666666666667,2.50484161644055e-05,All traits
Asian unspecified,2011,2003,0.000715907880562404,All traits
Asian unspecified,2012,51341.1666666667,0.018791839778378,All traits
Asian unspecified,2013,18701.5,0.00627173972825088,All traits
Asian unspecified,2014,839.333333333333,0.00034354134092999,All traits
Asian unspecified,2015,5001.3,0.000820805220539808,All traits
Asian unspecified,2016,44371.25,0.00340533242997738,All traits
Asian unspecified,2017,46221.5277777778,0.0042277710721882,All traits
Asian unspecified,2018,119732.683333333,0.00254147313452708,All traits
Asian unspecified,2019,29334.3333333333,0.000588442532107072,All traits
Asian unspecified,2020,115579.75,0.0045000916178274,All traits
Asian unspecified,2021,455099,0.0122281674995303,All traits
Central Asian,2005,0,0,All traits
Central Asian,2006,0,0,All traits
Central Asian,2007,0,0,All traits
Central Asian,2008,0,0,All traits
Central Asian,2009,0,0,All traits
Central Asian,2010,0,0,All traits
Central Asian,2011,0,0,All traits
Central Asian,2012,0,0,All traits
Central Asian,2013,0,0,All traits
Central Asian,2014,0,0,All traits
Central Asian,2015,0,0,All traits
Central Asian,2016,0,0,All traits
Central Asian,2017,0,0,All traits
Central Asian,2018,0,0,All traits
Central Asian,2019,218.409090909091,4.38125513299827e-06,All traits
Central Asian,2020,0,0,All traits
Central Asian,2021,0,0,All traits
East Asian,2005,0,0,All traits
East Asian,2006,0,0,All traits
East Asian,2007,12822,0.0274082703632846,All traits
East Asian,2008,45922,0.0575763806696223,All traits
East Asian,2009,103951,0.0769025902496296,All traits
East Asian,2010,287488,0.139376498056889,All traits
East Asian,2011,360192,0.128739037102114,All traits
East Asian,2012,581538.25,0.212854018101101,All traits
East Asian,2013,408364.5,0.136949221092282,All traits
East Asian,2014,404616,0.165610393012386,All traits
East Asian,2015,386969.2,0.063508755633158,All traits
East Asian,2016,459131,0.035236638226508,All traits
East Asian,2017,586094.75,0.0536086656746703,All traits
East Asian,2018,1363225.25,0.0289361288223917,All traits
East Asian,2019,1811218.65909091,0.0363327873125358,All traits
East Asian,2020,1280071.5,0.0498395179723934,All traits
East Asian,2021,2219063.66041667,0.0596245698885208,All traits
European,2005,1285,0.829032258064516,All traits
European,2006,3561,0.692128279883382,All traits
European,2007,441685,0.944144587069675,All traits
European,2008,738206.5,0.92555329595378,All traits
European,2009,1178059.85714286,0.871524607588135,All traits
European,2010,1704806.66666667,0.826504003868122,All traits
European,2011,2186880.16666667,0.781629927689611,All traits
European,2012,2009264.41666667,0.735428846709679,All traits
European,2013,2348615.16666667,0.787632171064134,All traits
European,2014,1858429,0.760659877700374,All traits
European,2015,5391364.93333333,0.884822042891899,All traits
European,2016,12019455.4166667,0.922449588890154,All traits
European,2017,9895573.27777778,0.905124093856139,All traits
European,2018,45001401.7173759,0.955209975227637,All traits
European,2019,46043508.4924242,0.923626196528831,All traits
European,2020,23715341.8944444,0.923355616127395,All traits
European,2021,32915582.8377606,0.884416929689589,All traits
Greater Middle Eastern (Middle Eastern,2005,0,0,All traits
Greater Middle Eastern (Middle Eastern,2006,0,0,All traits
Greater Middle Eastern (Middle Eastern,2007,0,0,All traits
Greater Middle Eastern (Middle Eastern,2008,0,0,All traits
Greater Middle Eastern (Middle Eastern,2009,1755,0.00129834292972747,All traits
Greater Middle Eastern (Middle Eastern,2010,309,0.000149805688931638,All traits
Greater Middle Eastern (Middle Eastern,2011,10382.1666666667,0.00371077131002445,All traits
Greater Middle Eastern (Middle Eastern,2012,2434,0.000890890117817839,All traits
Greater Middle Eastern (Middle Eastern,2013,2324.66666666667,0.00077960079610052,All traits
Greater Middle Eastern (Middle Eastern,2014,1643,0.000672484221383607,All traits
Greater Middle Eastern (Middle Eastern,2015,2692.5,0.000441888720193437,All traits
Greater Middle Eastern (Middle Eastern,2016,6304.5,0.000483847498206437,All traits
Greater Middle Eastern (Middle Eastern,2017,7281.02777777778,0.000665977956476963,All traits
Greater Middle Eastern (Middle Eastern,2018,1304.5,2.76896133260516e-05,All traits
Greater Middle Eastern (Middle Eastern,2019,1409.90909090909,2.82825747586557e-05,All traits
Greater Middle Eastern (Middle Eastern,2020,45,1.75207268403187e-06,All traits
Greater Middle Eastern (Middle Eastern,2021,19939.5,0.000535759353144888,All traits
Hispanic or Latin American,2005,0,0,All traits
Hispanic or Latin American,2006,0,0,All traits
Hispanic or Latin American,2007,3701,0.00791124696728408,All traits
Hispanic or Latin American,2008,91.75,0.000115034905414351,All traits
Hispanic or Latin American,2009,11244.8571428571,0.00831890642007064,All traits
Hispanic or Latin American,2010,13455.3333333333,0.00652325397995092,All traits
Hispanic or Latin American,2011,13948,0.00498526366354689,All traits
Hispanic or Latin American,2012,9366.66666666667,0.00342837747338829,All traits
Hispanic or Latin American,2013,23896,0.00801376855045227,All traits
Hispanic or Latin American,2014,36444.6666666667,0.0149168979226527,All traits
Hispanic or Latin American,2015,44253.1333333333,0.0072627522574619,All traits
Hispanic or Latin American,2016,117910.916666667,0.00904923499728676,All traits
Hispanic or Latin American,2017,89339,0.00817162170913384,All traits
Hispanic or Latin American,2018,180321,0.00382753450714216,All traits
Hispanic or Latin American,2019,770949.25,0.0154651317158295,All traits
Hispanic or Latin American,2020,107212.416666667,0.00417430992512689,All traits
Hispanic or Latin American,2021,998560.716666667,0.0268305746702389,All traits
Native American,2005,0,0,All traits
Native American,2006,0,0,All traits
Native American,2007,6099,0.0130372048779966,All traits
Native American,2008,51.75,6.48834480129993e-05,All traits
Native American,2009,250.857142857143,0.000185583246609803,All traits
Native American,2010,0,0,All traits
Native American,2011,2,7.14835627121722e-07,All traits
Native American,2012,0,0,All traits
Native American,2013,3773,0.00126531422584769,All traits
Native American,2014,320,0.000130976841657185,All traits
Native American,2015,2154,0.000353510976154749,All traits
Native American,2016,445.333333333333,3.4177717376678e-05,All traits
Native American,2017,10117.5277777778,0.00092542573379659,All traits
Native American,2018,99,2.10139648852365e-06,All traits
Native American,2019,14211.4090909091,0.000285078834253287,All traits
Native American,2020,73,2.84225124298504e-06,All traits
Native American,2021,1338,3.59510526596885e-05,All traits
North African or Persian),2005,0,0,All traits
North African or Persian),2006,0,0,All traits
North African or Persian),2007,0,0,All traits
North African or Persian),2008,0,0,All traits
North African or Persian),2009,1755,0.00129834292972747,All traits
North African or Persian),2010,309,0.000149805688931638,All traits
North African or Persian),2011,10382.1666666667,0.00371077131002445,All traits
North African or Persian),2012,2434,0.000890890117817839,All traits
North African or Persian),2013,2324.66666666667,0.00077960079610052,All traits
North African or Persian),2014,1643,0.000672484221383607,All traits
North African or Persian),2015,2692.5,0.000441888720193437,All traits
North African or Persian),2016,6304.5,0.000483847498206437,All traits
North African or Persian),2017,7281.02777777778,0.000665977956476963,All traits
North African or Persian),2018,1304.5,2.76896133260516e-05,All traits
North African or Persian),2019,1409.90909090909,2.82825747586557e-05,All traits
North African or Persian),2020,45,1.75207268403187e-06,All traits
North African or Persian),2021,19939.5,0.000535759353144888,All traits
Oceanian,2005,0,0,All traits
Oceanian,2006,0,0,All traits
Oceanian,2007,0,0,All traits
Oceanian,2008,51.75,6.48834480129993e-05,All traits
Oceanian,2009,7949.85714285714,0.00588127681696409,All traits
Oceanian,2010,0,0,All traits
Oceanian,2011,0,0,All traits
Oceanian,2012,518.166666666667,0.000189658817878366,All traits
Oceanian,2013,1493,0.000500692854277923,All traits
Oceanian,2014,0,0,All traits
Oceanian,2015,0,0,All traits
Oceanian,2016,0,0,All traits
Oceanian,2017,7652.02777777778,0.000699912426910801,All traits
Oceanian,2018,0,0,All traits
Oceanian,2019,50523,0.0010134841556417,All traits
Oceanian,2020,513,1.99736285979633e-05,All traits
Oceanian,2021,4442,0.000119353195750625,All traits
Other,2005,263,0.169677419354839,All traits
Other,2006,1584,0.307871720116618,All traits
Other,2007,1337,0.00285796735889187,All traits
Other,2008,12560.5,0.0157481845172421,All traits
Other,2009,5256.85714285714,0.00388900473163299,All traits
Other,2010,32460.1666666667,0.0157369502599864,All traits
Other,2011,24136.5,0.00862681505701172,All traits
Other,2012,5167.66666666667,0.00189146391352095,All traits
Other,2013,23858.8333333333,0.00800130432780168,All traits
Other,2014,14777,0.00604826496615067,All traits
Other,2015,12757.8,0.0020937893832809,All traits
Other,2016,492.5,3.77975878922469e-05,All traits
Other,2017,1094.52777777778,0.000100113801924567,All traits
Other,2018,0,0,All traits
Other,2019,3845,7.71301501977782e-05,All traits
Other,2020,0,0,All traits
Other,2021,5349,0.000143723602897365,All traits
Other admixed ancestry,2005,0,0,All traits
Other admixed ancestry,2006,0,0,All traits
Other admixed ancestry,2007,0,0,All traits
Other admixed ancestry,2008,0,0,All traits
Other admixed ancestry,2009,0,0,All traits
Other admixed ancestry,2010,0,0,All traits
Other admixed ancestry,2011,0,0,All traits
Other admixed ancestry,2012,0,0,All traits
Other admixed ancestry,2013,0,0,All traits
Other admixed ancestry,2014,0,0,All traits
Other admixed ancestry,2015,0,0,All traits
Other admixed ancestry,2016,0,0,All traits
Other admixed ancestry,2017,5499.77777777778,0.000503051337985659,All traits
Other admixed ancestry,2018,2948,6.25749176582599e-05,All traits
Other admixed ancestry,2019,533.909090909091,1.07101400191879e-05,All traits
Other admixed ancestry,2020,73,2.84225124298504e-06,All traits
Other admixed ancestry,2021,3806,0.000102264354576065,All traits
South Asian,2005,0,0,All traits
South Asian,2006,0,0,All traits
South Asian,2007,0,0,All traits
South Asian,2008,0,0,All traits
South Asian,2009,0,0,All traits
South Asian,2010,0,0,All traits
South Asian,2011,89326,0.0319267036141375,All traits
South Asian,2012,18238.25,0.0066755450662659,All traits
South Asian,2013,55755,0.018698010777137,All traits
South Asian,2014,23125,0.00946512332288247,All traits
South Asian,2015,132734,0.0217840881657031,All traits
South Asian,2016,133244,0.0102259935048011,All traits
South Asian,2017,64751,0.00592261696782061,All traits
South Asian,2018,132856.75,0.0028200475548148,All traits
South Asian,2019,115974.409090909,0.0023264300630118,All traits
South Asian,2020,197888.25,0.00770476882924156,All traits
South Asian,2021,136445.766666667,0.00366619502438334,All traits
South East Asian,2005,0,0,All traits
South East Asian,2006,0,0,All traits
South East Asian,2007,0,0,All traits
South East Asian,2008,0,0,All traits
South East Asian,2009,854,0.000631786246146585,All traits
South East Asian,2010,0,0,All traits
South East Asian,2011,4068,0.00145397566556558,All traits
South East Asian,2012,2034,0.000744482538883108,All traits
South East Asian,2013,1998,0.000670049780875612,All traits
South East Asian,2014,0,0,All traits
South East Asian,2015,0.2,3.28236746661791e-08,All traits
South East Asian,2016,0,0,All traits
South East Asian,2017,2603,0.000238090098488626,All traits
South East Asian,2018,2037,4.32378247184109e-05,All traits
South East Asian,2019,975.409090909091,1.95665668884516e-05,All traits
South East Asian,2020,0,0,All traits
South East Asian,2021,5924.5,0.000159186854620572,All traits
Sub-Saharan African,2005,0,0,All traits
Sub-Saharan African,2006,0,0,All traits
Sub-Saharan African,2007,0,0,All traits
Sub-Saharan African,2008,0,0,All traits
Sub-Saharan African,2009,5503,0.00407110036597735,All traits
Sub-Saharan African,2010,198,9.59919948493992e-05,All traits
Sub-Saharan African,2011,1705,0.000609397372121268,All traits
Sub-Saharan African,2012,8911,0.00326159483971847,All traits
Sub-Saharan African,2013,7090,0.00237770417738143,All traits
Sub-Saharan African,2014,7242,0.00296416964775416,All traits
Sub-Saharan African,2015,0,0,All traits
Sub-Saharan African,2016,3370,0.00025863527146573,All traits
Sub-Saharan African,2017,2660,0.000243303750280348,All traits
Sub-Saharan African,2018,3249,6.89640120324581e-05,All traits
Sub-Saharan African,2019,9335,0.00018725876517458,All traits
Sub-Saharan African,2020,2353,9.16139339005999e-05,All traits
Sub-Saharan African,2021,1589.5,4.27086683128363e-05,All traits
African American or Afro-Caribbean,2007,2171,0.012765181805353,Cancer
African American or Afro-Caribbean,2008,2,6.41957714245363e-06,Cancer
African American or Afro-Caribbean,2009,7757,0.0151669795088378,Cancer
African American or Afro-Caribbean,2010,79,0.000154646339481994,Cancer
African American or Afro-Caribbean,2011,14282,0.0222561940069408,Cancer
African American or Afro-Caribbean,2012,24636,0.0295608351331893,Cancer
African American or Afro-Caribbean,2013,23239.75,0.0270864608197822,Cancer
African American or Afro-Caribbean,2014,14290.5,0.0142698230264347,Cancer
African American or Afro-Caribbean,2015,7269,0.00329791182157793,Cancer
African American or Afro-Caribbean,2016,58815.6666666667,0.0322581470802727,Cancer
African American or Afro-Caribbean,2017,39215,0.0134847031233344,Cancer
African American or Afro-Caribbean,2018,21688,0.00438782568549155,Cancer
African American or Afro-Caribbean,2019,2591,0.000681161123392692,Cancer
African American or Afro-Caribbean,2020,5342,0.0011592954903579,Cancer
