gender,prop,position,Trait,plataform
Female,0.337994359045957,All,All traits,genderAPI
Male,0.662005640954043,All,All traits,genderAPI
Female,0.394585427158535,First,All traits,genderAPI
Male,0.605414572841465,First,All traits,genderAPI
Female,0.249837536318673,Senior,All traits,genderAPI
Male,0.750162463681327,Senior,All traits,genderAPI
Female,0.367563551296636,All,Cancer,genderAPI
Male,0.632436448703364,All,Cancer,genderAPI
Female,0.431895072977089,First,Cancer,genderAPI
Male,0.568104927022911,First,Cancer,genderAPI
Female,0.268897690655209,Senior,Cancer,genderAPI
Male,0.731102309344791,Senior,Cancer,genderAPI
Female,0.318818387602743,All,CVD,genderAPI
Male,0.681181612397257,All,CVD,genderAPI
Female,0.379758297258297,First,CVD,genderAPI
Male,0.620241702741703,First,CVD,genderAPI
Female,0.268300425861401,Senior,CVD,genderAPI
Male,0.731699574138599,Senior,CVD,genderAPI
Female,0.330914409961166,All,Chronic respiratory disease,genderAPI
Male,0.669085590038834,All,Chronic respiratory disease,genderAPI
Female,0.418296459798436,First,Chronic respiratory disease,genderAPI
Male,0.581703540201564,First,Chronic respiratory disease,genderAPI
Female,0.201895424836601,Senior,Chronic respiratory disease,genderAPI
Male,0.798104575163399,Senior,Chronic respiratory disease,genderAPI
Female,0.344964388307586,All,Diabetes and CKD,genderAPI
Male,0.655035611692414,All,Diabetes and CKD,genderAPI
Female,0.390845070422535,First,Diabetes and CKD,genderAPI
Male,0.609154929577465,First,Diabetes and CKD,genderAPI
Female,0.235954616588419,Senior,Diabetes and CKD,genderAPI
Male,0.764045383411581,Senior,Diabetes and CKD,genderAPI
Female,0.308626035471204,All,Digestive diseases,genderAPI
Male,0.691373964528796,All,Digestive diseases,genderAPI
Female,0.352095667095667,First,Digestive diseases,genderAPI
Male,0.647904332904333,First,Digestive diseases,genderAPI
Female,0.21186457705445,Senior,Digestive diseases,genderAPI
Male,0.78813542294555,Senior,Digestive diseases,genderAPI
Female,0.344374282282371,All,Mental disorders,genderAPI
Male,0.655625717717629,All,Mental disorders,genderAPI
Female,0.369799196787149,First,Mental disorders,genderAPI
Male,0.630200803212851,First,Mental disorders,genderAPI
Female,0.265702409229725,Senior,Mental disorders,genderAPI
Male,0.734297590770275,Senior,Mental disorders,genderAPI
Female,0.362266367672923,All,Musculoskeletal disorders,genderAPI
Male,0.637733632327077,All,Musculoskeletal disorders,genderAPI
Female,0.481372549019608,First,Musculoskeletal disorders,genderAPI
Male,0.518627450980392,First,Musculoskeletal disorders,genderAPI
Female,0.343604651162791,Senior,Musculoskeletal disorders,genderAPI
Male,0.656395348837209,Senior,Musculoskeletal disorders,genderAPI
Female,0.358085249664056,All,Neurological disorders,genderAPI
Male,0.641914750335944,All,Neurological disorders,genderAPI
Female,0.37991452991453,First,Neurological disorders,genderAPI
Male,0.62008547008547,First,Neurological disorders,genderAPI
Female,0.236636904761905,Senior,Neurological disorders,genderAPI
Male,0.763363095238095,Senior,Neurological disorders,genderAPI
Female,0.350117869591227,All,Skin disease,genderAPI
Male,0.649882130408773,All,Skin disease,genderAPI
Female,0.380555555555556,First,Skin disease,genderAPI
Male,0.619444444444445,First,Skin disease,genderAPI
Female,0.256497175141243,Senior,Skin disease,genderAPI
Male,0.743502824858757,Senior,Skin disease,genderAPI
Female,0.283877593828299,All,Substance use,genderAPI
Male,0.716122406171701,All,Substance use,genderAPI
Female,0.251851851851852,First,Substance use,genderAPI
Male,0.748148148148148,First,Substance use,genderAPI
Female,0.298076923076923,Senior,Substance use,genderAPI
Male,0.701923076923077,Senior,Substance use,genderAPI
Female,0.346300602644122,All,All traits,genderize.io
Male,0.653699397355878,All,All traits,genderize.io
Female,0.414661804987944,First,All traits,genderize.io
Male,0.585338195012056,First,All traits,genderize.io
Female,0.270717492207464,Senior,All traits,genderize.io
Male,0.729282507792536,Senior,All traits,genderize.io
Female,0.378786000689793,All,Cancer,genderize.io
Male,0.621213999310207,All,Cancer,genderize.io
Female,0.45549369040076,First,Cancer,genderize.io
Male,0.54450630959924,First,Cancer,genderize.io
Female,0.321174118502363,Senior,Cancer,genderize.io
Male,0.678825881497637,Senior,Cancer,genderize.io
Female,0.332609259636237,All,CVD,genderize.io
Male,0.667390740363763,All,CVD,genderize.io
Female,0.410492940894951,First,CVD,genderize.io
Male,0.589507059105049,First,CVD,genderize.io
Female,0.2836987771299,Senior,CVD,genderize.io
Male,0.7163012228701,Senior,CVD,genderize.io
Female,0.332135198300463,All,Chronic respiratory disease,genderize.io
Male,0.667864801699538,All,Chronic respiratory disease,genderize.io
Female,0.467162038503502,First,Chronic respiratory disease,genderize.io
Male,0.532837961496498,First,Chronic respiratory disease,genderize.io
Female,0.22433598937583,Senior,Chronic respiratory disease,genderize.io
Male,0.77566401062417,Senior,Chronic respiratory disease,genderize.io
Female,0.363513856991331,All,Diabetes and CKD,genderize.io
Male,0.636486143008669,All,Diabetes and CKD,genderize.io
Female,0.412243191591018,First,Diabetes and CKD,genderize.io
Male,0.587756808408982,First,Diabetes and CKD,genderize.io
Female,0.245061260578502,Senior,Diabetes and CKD,genderize.io
