DATE,Income_group,total_Income,Prop,Trait
2005,HIC,1550,1,All traits
2006,HIC,5145,1,All traits
2007,HIC,453169.666666667,0.981685672033228,All traits
2007,UMIC,8454.33333333333,0.0183143279667724,All traits
2008,HIC,746689.616666667,0.977791651225454,All traits
2008,UMIC,16959.3833333333,0.0222083487745461,All traits
2009,HIC,1105438.20793651,0.939046653338205,All traits
2009,LIC,5503,0.00467468348408756,All traits
2009,UMIC,66250.7920634921,0.0562786631777077,All traits
2010,HIC,1855444.56045752,0.939017724435999,All traits
2010,UMIC,120497.439542484,0.0609822755640012,All traits
2011,HIC,2280419.79254079,0.904018013818144,All traits
2011,LMIC,44464.75,0.0176269891672593,All traits
2011,UMIC,197653.457459207,0.078354997014597,All traits
2012,HIC,2165288.85351732,0.892149903016802,All traits
2012,LIC,4957,0.00204240051486457,All traits
2012,LMIC,27912.75,0.0115007090924523,All traits
2012,UMIC,228887.396482684,0.0943069873758816,All traits
2013,HIC,2474710.02829719,0.917770046371247,All traits
2013,LIC,8210.66666666667,0.00304500480510461,All traits
2013,LMIC,45094.9333333333,0.016723890307633,All traits
2013,UMIC,168422.371702808,0.0624610585160155,All traits
2014,HIC,1812426.91666667,0.872421519411219,All traits
2014,LMIC,19017.6666666667,0.00915425692281354,All traits
2014,UMIC,246022.416666667,0.118424223665968,All traits
2015,HIC,5140267.40555556,0.943802843885422,All traits
2015,LMIC,110953.066666667,0.0203720568592659,All traits
2015,UMIC,195115.527777778,0.0358250992553118,All traits
2016,HIC,5099226.3021978,0.939182621784939,All traits
2016,LIC,2008,0.000369836244320306,All traits
2016,LMIC,101443,0.0186839134126418,All traits
2016,UMIC,226752.697802198,0.0417636285580987,All traits
2017,HIC,10289880.725558,0.962651020605083,All traits
2017,LIC,5726,0.000535685484700875,All traits
2017,LMIC,93103.6363690977,0.00871014086199688,All traits
2017,UMIC,300397.638072941,0.0281031530482189,All traits
2018,HIC,22131293.4763395,0.981221121361225,All traits
2018,LIC,2335,0.000103525413949615,All traits
2018,LMIC,144253.428571429,0.00639567276509995,All traits
2018,UMIC,276966.329131653,0.0122796804597258,All traits
2019,HIC,25716393.1653254,0.985188085464157,All traits
2019,LMIC,32536.5714285714,0.00124646727506495,All traits
2019,UMIC,354099.263246068,0.0135654472607783,All traits
2020,HIC,15972112.2634921,0.969084237576579,All traits
2020,LIC,54.75,3.32187509904952e-06,All traits
2020,LMIC,76340.6111111111,0.00463185342641503,All traits
2020,UMIC,433147.575396825,0.0262805871219066,All traits
2021,HIC,28553979.2516817,0.98728627781427,All traits
2021,LIC,3564.79166666667,0.000123256722460474,All traits
2021,LMIC,8009.79642857143,0.00027694781285339,All traits
2021,UMIC,353754.968656691,0.012231480004413,All traits
2021,"",2372.66666666667,8.20376460030299e-05,All traits
2007,HIC,109172,0.971791242734175,CVD
2007,UMIC,3169,0.0282087572658246,CVD
2008,HIC,45422,1,CVD
2009,HIC,238914,0.977949332994953,CVD
2009,UMIC,5387,0.0220506670050471,CVD
2010,HIC,307506,0.991958038574318,CVD
2010,UMIC,2493,0.00804196142568202,CVD
2011,HIC,694010.5,0.967785366860407,CVD
2011,LMIC,10488.5,0.0146260277334642,CVD
2011,UMIC,12613,0.017588605406129,CVD
2012,HIC,390574,0.892165507033181,CVD
2012,LMIC,2465,0.00563065635407577,CVD
2012,UMIC,44743,0.102203836612743,CVD
2013,HIC,495597,0.973469075080926,CVD
2013,UMIC,13507,0.0265309249190735,CVD
2014,HIC,147741,0.611298224127373,CVD
2014,UMIC,92730,0.383682825507688,CVD
2014,"",1213,0.00501895036493934,CVD
2015,HIC,2185585.76666667,0.942248437156227,CVD
2015,LMIC,104441.066666667,0.0450265706075148,CVD
2015,UMIC,29516.1666666667,0.012724992236258,CVD
2016,HIC,2404880,0.948200812536274,CVD
2016,LMIC,99201,0.0391131652325317,CVD
2016,UMIC,32175,0.0126860222311943,CVD
2017,HIC,3863182.30836237,0.979939782932494,CVD
2017,LIC,3281,0.000832262671332343,CVD
2017,LMIC,41763.4442508711,0.0105937688742058,CVD
2017,UMIC,34038.2473867596,0.0086341855219676,CVD
2018,HIC,6911492.33333333,0.977048327343902,CVD
2018,LMIC,77645,0.0109763439960338,CVD
2018,UMIC,84711.6666666667,0.0119753286600642,CVD
2019,HIC,3786917,0.998631104388377,CVD
2019,LMIC,2078,0.000547980173560458,CVD
2019,UMIC,3113,0.000820915438062418,CVD
2020,HIC,1831070,0.999140586420174,CVD
2020,LMIC,581.5,0.000317300950265873,CVD
2020,UMIC,993.5,0.000542112629560008,CVD
2021,HIC,7820965.18843363,0.998375712121086,CVD
2021,LIC,1192.125,0.000152179253728493,CVD
2021,LMIC,1192.125,0.000152179253728493,CVD
2021,UMIC,10339.9166666667,0.00131992937145697,CVD
2007,HIC,140479,1,Diabetes and CKD
2008,HIC,182732.2,0.958539835078369,Diabetes and CKD
2008,UMIC,7903.8,0.0414601649216307,Diabetes and CKD
2009,HIC,112829,1,Diabetes and CKD
2010,HIC,421406.833333333,0.949236350912918,Diabetes and CKD
2010,UMIC,22536.1666666667,0.0507636490870825,Diabetes and CKD
2011,HIC,202939.833333333,0.764797695630819,Diabetes and CKD
2011,LMIC,31076.5,0.117114689599813,Diabetes and CKD
2011,UMIC,31334.6666666667,0.118087614769368,Diabetes and CKD
2012,HIC,224340.5,0.865584656105071,Diabetes and CKD
2012,LMIC,14554,0.0561544575542677,Diabetes and CKD
2012,UMIC,20283.5,0.0782608863406616,Diabetes and CKD
2013,HIC,300475.5,0.814736131409622,Diabetes and CKD
2013,LMIC,36346.6,0.0985534204082961,Diabetes and CKD
2013,UMIC,31978.9,0.086710448182082,Diabetes and CKD
2014,HIC,236372.7,0.926406819517931,Diabetes and CKD
2014,LMIC,10436.4,0.0409029982363316,Diabetes and CKD
2014,UMIC,8340.9,0.0326901822457378,Diabetes and CKD
2015,HIC,36925,0.957325451764279,Diabetes and CKD
2015,LMIC,699,0.0181224235824843,Diabetes and CKD
2015,UMIC,947,0.0245521246532369,Diabetes and CKD
2016,HIC,236419,1,Diabetes and CKD
2017,HIC,425003.6375,0.874323973346719,Diabetes and CKD
2017,LMIC,24958.8,0.0513456245088399,Diabetes and CKD
2017,UMIC,36131.5625,0.0743304021444412,Diabetes and CKD
2018,HIC,1180034.42857143,0.912632968732737,Diabetes and CKD
2018,LMIC,65694.4285714286,0.0508077560490554,Diabetes and CKD
2018,UMIC,47271.1428571429,0.0365592752182079,Diabetes and CKD
2019,HIC,4660400.40769231,0.974047095455584,Diabetes and CKD
2019,LMIC,3260.25,0.000681408626974941,Diabetes and CKD
2019,UMIC,120913.342307692,0.0252714959174406,Diabetes and CKD
2020,HIC,2229170.44444444,0.901395679391499,Diabetes and CKD
2020,LMIC,50524.1111111111,0.020430118107008,Diabetes and CKD
2020,UMIC,193326.444444444,0.0781742025014929,Diabetes and CKD
2021,HIC,6500450.42027846,0.999755615138991,Diabetes and CKD
2021,UMIC,1589,0.000244384861009032,Diabetes and CKD
2006,HIC,2679,1,Digestive diseases
2007,HIC,216740,1,Digestive diseases
2008,HIC,351539.2,0.978010978096666,Digestive diseases
2008,UMIC,7903.8,0.0219890219033338,Digestive diseases
2009,HIC,143858,0.927697169020442,Digestive diseases
2009,LIC,5503,0.0354871993293351,Digestive diseases
2009,UMIC,5709,0.0368156316502225,Digestive diseases
2010,HIC,474542.199346405,0.87567805841223,Digestive diseases
2010,UMIC,67371.8006535948,0.12432194158777,Digestive diseases
2011,HIC,372329.333333333,0.789475618582349,Digestive diseases
2011,LMIC,31696.5,0.0672082796173158,Digestive diseases
2011,UMIC,67590.1666666667,0.143316101800335,Digestive diseases
2012,HIC,680159.166666667,0.83763237857378,Digestive diseases
2012,LIC,3954,0.00486944613436913,Digestive diseases
2012,LMIC,18655,0.0229740813446272,Digestive diseases
2012,UMIC,109233.833333333,0.134524093947223,Digestive diseases
2013,HIC,445356.5,0.813843823210154,Digestive diseases
2013,LIC,8210.66666666667,0.01500416037737,Digestive diseases
2013,LMIC,40043.9333333333,0.073176225788492,Digestive diseases
2013,UMIC,53614.9,0.0979757906239835,Digestive diseases
2014,HIC,564545.95,0.878248359932733,Digestive diseases
